rowid,poi_name,geography,latitude,longitude,geocoded_name,display_name,place_type,category,parking_facility_name,parking_confidence,parking_source,address,osm_id,error
87,Frances C. Arrillaga Alumni Center,South_Bay,37.4306866,-122.1648944,Frances C. Arrillaga Alumni Center,"Frances C. Arrillaga Alumni Center, 326, Galvez Street, Stanford, Santa Clara County, California, 94305, United States",yes,,Frances C. Arrillaga Alumni Center Parking,assumed,business_type,"326, Galvez Street, California, 94305",30754713,
88,Toyota Sunnyvale,South_Bay,37.3705999,-122.0444228,Toyota Sunnyvale,"Toyota Sunnyvale, 898, West El Camino Real, Civic Square Shopping Center, Sunnyvale, Santa Clara County, California, 94087, United States",car,,,none,,"898, West El Camino Real, Sunnyvale, California, 94087",45757991,
89,The Grand Hotel,South_Bay,37.3711199,-122.0427942,The Grand Hotel,"The Grand Hotel, 865, West El Camino Real, Civic Square Shopping Center, Sunnyvale, Santa Clara County, California, 94087, United States",hotel,,The Grand Hotel Parking,assumed,business_type,"865, West El Camino Real, Sunnyvale, California, 94087",1317301271,
90,Monte Carlo,South_Bay,37.3935792,-122.0794746,Monte Carlo,"Monte Carlo, 228, Castro Street, Mountain View, Santa Clara County, California, 94041, United States",nightclub,,,none,,"228, Castro Street, Mountain View, California, 94041",4880847610,
91,Wild Palms Hotel,South_Bay,37.351514,-122.013629,Wild Palms Hotel,"Wild Palms Hotel, 910, East Fremont Avenue, Sunnyvale, Santa Clara County, California, 94087, United States",hotel,,Wild Palms Hotel Parking,assumed,business_type,"910, East Fremont Avenue, Sunnyvale, California, 94087",2878950,
92,Playground Global,South_Bay,37.4226995,-122.1377944,,"210, Portage Avenue, Ventura, Palo Alto, Santa Clara County, California, 94306, United States",retail,,,none,,"210, Portage Avenue, Ventura, Palo Alto, California, 94306",232276417,
93,Spruce Apartments,South_Bay,37.3659657,-122.0254979,,"South Fair Oaks Avenue, Sunnyvale, Santa Clara County, California, 94086, United States",pitch,,,none,,"South Fair Oaks Avenue, Sunnyvale, California, 94086",108150566,
94,Tantau Reception Building,South_Bay,37.3325618,-122.0063707,Apple Park,"Apple Park, 1, Apple Park Way, Cupertino, Santa Clara County, California, 94087, United States",it,,,none,,"1, Apple Park Way, Cupertino, California, 94087",38789619,
95,Hilton Garden Inn,South_Bay,37.39418,-122.02876,,"724, North Mathilda Avenue, Sunnyvale, Santa Clara County, California, 94085, United States",car_wash,,,none,,"724, North Mathilda Avenue, Sunnyvale, California, 94085",7633596699,
96,Trader Joe's,South_Bay,37.3678741,-122.0357786,Trader Joe's,"Trader Joe's, 316, West El Camino Real, Sunnyvale, Santa Clara County, California, 94087, United States",supermarket,,,none,,"316, West El Camino Real, Sunnyvale, California, 94087",2125918594,
97,Whole Foods Market,South_Bay,37.4423818,-122.1595982,Whole Foods Market,"Whole Foods Market, 774, Emerson Street, University South, Palo Alto, Santa Clara County, California, 94301, United States",supermarket,,,none,,"774, Emerson Street, University South, Palo Alto, California, 94301",158923718,
98,Lucile Packard Children's Hospital Stanford,South_Bay,37.4360069,-122.1751128,Lucile Packard Children's Hospital,"Lucile Packard Children's Hospital, 725, Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94304, United States",hospital,,Lucile Packard Children's Hospital Stanford Parking,assumed,business_type,"725, Welch Road, Palo Alto, California, 94304",12130449,
99,Ettan,South_Bay,37.44548,-122.1614152,Keen Garage,"Keen Garage, 278, University Avenue, Palo Alto, Santa Clara County, California, 94301, United States",clothes,,Keen Garage,high,geocoded_name,"278, University Avenue, Palo Alto, California, 94301",132883501,
100,Maple Tree Inn,South_Bay,37.3598839,-122.0216002,Maple Tree Inn,"Maple Tree Inn, 711, East El Camino Real, Sunnyvale, Santa Clara County, California, 94087, United States",hotel,,Maple Tree Inn Parking,assumed,business_type,"711, East El Camino Real, Sunnyvale, California, 94087",387477804,
